Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column11	Column12
RNZAF Base Ohakea	Ohakea	New Zealand	OHA	NZOH	-40.20600128	175.3880005	Z	Pacific/Auckland
Oamaru Airport	Oamaru	New Zealand	OAM	NZOU	-44.97000122	171.0820007	Z	Pacific/Auckland
Okiwi Station Airport	Okiwi	New Zealand	\N	NZOX	-36.14640045	175.4190063	Z	\N
McMurdo Station Pegasus Field	McMurdo Station	Antarctica	\N	NZPG	-77.96340179	166.5249939	Z	Antarctica/South_Pole
Palmerston North Airport	Palmerston North	New Zealand	PMR	NZPM	-40.3205986	175.6170044	Z	Pacific/Auckland
Picton Aerodrome	Picton	New Zealand	PCN	NZPN	-41.34609985	173.9559937	Z	Pacific/Auckland
Paraparaumu Airport	Paraparaumu	New Zealand	PPQ	NZPP	-40.90470123	174.9889984	Z	Pacific/Auckland
Queenstown International Airport	Queenstown International	New Zealand	ZQN	NZQN	-45.02109909	168.7389984	Z	Pacific/Auckland
Ryan's Creek Aerodrome	Stewart Island	New Zealand	SZS	NZRC	-46.8997	168.100998	U	Pacific/Auckland
Rotorua Regional Airport	Rotorua	New Zealand	ROT	NZRO	-38.10919952	176.3170013	Z	Pacific/Auckland
Rangiora Airfield	Rangiora	New Zealand	\N	NZRT	-43.29000092	172.5420074	U	\N
Waiouru Airport	Waiouru	New Zealand	\N	NZRU	-39.44639969	175.6580048	Z	Pacific/Auckland
South Pole Station Airport	Stephen's Island	Antarctica	\N	NZSP	-90	0	U	Antarctica/South_Pole
Tauranga Airport	Tauranga	New Zealand	TRG	NZTG	-37.6719017	176.1959991	Z	Pacific/Auckland
Takaka Airport	Takaka	New Zealand	KTF	NZTK	-40.81330109	172.7749939	U	Pacific/Auckland
Tekapo Aerodrome	Lake Tekapo	New Zealand	\N	NZTL	-44.00529861	170.4440002	Z	Pacific/Auckland
Timaru Airport	Timaru	New Zealand	TIU	NZTU	-44.30279922	171.2250061	Z	Pacific/Auckland
Pukaki Airport	Pukaki	New Zealand	TWZ	NZUK	-44.23500061	170.1179962	Z	Pacific/Auckland
